age,gender,nationality,extraversion,agreeableness,conscientiousness,neuroticism,openness,ifPrivacy,frequency
42,Female,British,4,9,8,4,8,1,2
59,Female,British,6,8,10,5,7,0,3
60,Male,Japan,7,6,10,6,9,0,2
60,Male,Japan,7,6,10,6,9,0,2
60,Male,Japan,7,6,10,6,9,0,2
60,Male,Japan,7,6,10,6,9,0,2
60,Male,Japan,7,6,10,6,9,0,2
28,Male,Japan,7,3,3,4,7,1,0
28,Male,Japan,7,3,3,4,7,1,0
28,Male,Japan,7,3,3,4,7,1,0
28,Male,Japan,7,3,3,4,7,1,0
28,Male,Japan,7,3,3,4,7,1,0
31,Male,British,4,8,6,6,7,0,0
31,Male,British,4,8,6,6,7,0,0
31,Male,British,4,8,6,6,7,1,0
31,Male,British,4,8,6,6,7,0,0
31,Male,British,4,8,6,6,7,0,0
20,Male,British,6,7,9,4,6,0,3
20,Male,British,6,7,9,4,6,0,3
20,Male,British,6,7,9,4,6,0,3
20,Male,British,6,7,9,4,6,0,3
20,Male,British,6,7,9,4,6,0,3
40,Female,Japan,7,6,4,6,6,0,0
40,Female,Japan,7,6,4,6,6,0,0
26,Male,Japan,8,4,8,5,7,0,2
26,Male,Japan,8,4,8,5,7,0,2
23,Male,British,4,10,7,6,8,0,1
23,Male,British,4,10,7,6,8,0,1
42,Male,British,2,7,5,4,6,0,1
42,Male,British,2,7,5,4,6,0,1
27,Male,Japan,6,8,4,6,8,1,1
27,Male,Japan,6,8,4,6,8,1,1
27,Male,Japan,6,8,4,6,8,0,1
27,Male,Japan,6,8,4,6,8,0,1
27,Male,Japan,6,8,4,6,8,0,1
27,Male,Japan,6,8,4,6,8,0,1
58,Female,Japan,5,6,6,7,10,1,2
58,Female,Japan,5,6,6,7,10,1,2
58,Female,Japan,5,6,6,7,10,1,2
58,Female,Japan,5,6,6,7,10,1,2
58,Female,Japan,5,6,6,7,10,1,2
58,Female,Japan,5,6,6,7,10,1,2
32,Female,British,6,6,8,9,9,1,0
32,Female,British,6,6,8,9,9,1,0
32,Female,British,6,6,8,9,9,1,0
32,Female,British,6,6,8,9,9,1,0
32,Female,British,6,6,8,9,9,1,0
32,Female,British,6,6,8,9,9,1,0
29,Male,British,4,7,6,9,6,0,3
29,Male,British,4,7,6,9,6,0,3
29,Male,British,4,7,6,9,6,0,3
29,Male,British,4,7,6,9,6,0,3
29,Male,British,4,7,6,9,6,0,3
29,Male,British,4,7,6,9,6,0,3
55,Male,Japan,4,7,6,8,7,0,1
55,Male,Japan,4,7,6,8,7,0,1
55,Male,Japan,4,7,6,8,7,0,1
55,Male,Japan,4,7,6,8,7,0,1
55,Male,Japan,4,7,6,8,7,0,1
55,Male,Japan,4,7,6,8,7,0,1
33,Female,Japan,5,6,6,8,8,0,1
33,Female,Japan,5,6,6,8,8,0,1
33,Female,Japan,5,6,6,8,8,0,1
33,Female,Japan,5,6,6,8,8,0,1
33,Female,Japan,5,6,6,8,8,0,1
33,Female,Japan,5,6,6,8,8,0,1
41,Male,British,5,9,8,7,8,0,3
41,Male,British,5,9,8,7,8,0,3
41,Male,British,5,9,8,7,8,0,3
41,Male,British,5,9,8,7,8,0,3
41,Male,British,5,9,8,7,8,0,3
41,Male,British,5,9,8,7,8,0,3
30,Female,British,3,5,6,7,8,0,1
30,Female,British,3,5,6,7,8,0,1
30,Female,British,3,5,6,7,8,0,1
30,Female,British,3,5,6,7,8,0,1
30,Female,British,3,5,6,7,8,0,1
30,Female,British,3,5,6,7,8,0,1
22,Female,Japan,6,6,5,8,6,0,3
22,Female,Japan,6,6,5,8,6,0,3
22,Female,Japan,6,6,5,8,6,1,3
22,Female,Japan,6,6,5,8,6,0,3
58,Female,Japan,4,5,6,7,8,1,1
58,Female,Japan,4,5,6,7,8,0,1
58,Female,Japan,4,5,6,7,8,1,1
58,Female,Japan,4,5,6,7,8,1,1
50,Male,British,4,5,10,8,3,0,0
50,Male,British,4,5,10,8,3,0,0
50,Male,British,4,5,10,8,3,1,0
50,Male,British,4,5,10,8,3,0,0
21,Female,British,6,7,7,8,10,0,2
21,Female,British,6,7,7,8,10,0,2
21,Female,British,6,7,7,8,10,1,2
21,Female,British,6,7,7,8,10,0,2
35,Female,Japan,4,6,7,8,9,0,1
40,Male,Japan,3,5,4,7,5,0,1
53,Female,British,6,7,10,8,6,0,1
31,Female,British,9,7,6,9,10,0,2
29,Female,Japan,8,6,9,3,6,1,0
54,Male,Japan,4,6,4,8,6,0,1
28,Male,British,5,8,6,5,7,0,3
33,Male,British,9,5,10,4,10,0,2
47,Male,Japan,3,5,10,8,8,0,1
47,Male,Japan,3,5,10,8,8,0,1
47,Male,Japan,3,5,10,8,8,0,1
47,Male,Japan,3,5,10,8,8,1,1
47,Male,Japan,3,5,10,8,8,0,1
47,Male,Japan,3,5,10,8,8,0,1
23,Female,Japan,2,6,6,6,8,1,1
23,Female,Japan,2,6,6,6,8,1,1
23,Female,Japan,2,6,6,6,8,0,1
23,Female,Japan,2,6,6,6,8,1,1
23,Female,Japan,2,6,6,6,8,1,1
23,Female,Japan,2,6,6,6,8,1,1
58,Male,British,8,8,4,5,6,0,2
58,Male,British,8,8,4,5,6,0,2
58,Male,British,8,8,4,5,6,0,2
58,Male,British,8,8,4,5,6,0,2
58,Male,British,8,8,4,5,6,0,2
58,Male,British,8,8,4,5,6,0,2
23,Male,British,6,6,3,6,5,0,1
23,Male,British,6,6,3,6,5,0,1
23,Male,British,6,6,3,6,5,0,1
23,Male,British,6,6,3,6,5,0,1
23,Male,British,6,6,3,6,5,0,1
23,Male,British,6,6,3,6,5,0,1
42,Male,Japan,5,4,7,10,5,0,1
42,Male,Japan,5,4,7,10,5,0,1
42,Male,Japan,5,4,7,10,5,0,1
42,Male,Japan,5,4,7,10,5,0,1
42,Male,Japan,5,4,7,10,5,0,1
42,Male,Japan,5,4,7,10,5,1,1
42,Male,Japan,5,4,7,10,5,0,1
23,Male,Japan,6,8,5,6,6,0,2
23,Male,Japan,6,8,5,6,6,0,2
23,Male,Japan,6,8,5,6,6,1,2
23,Male,Japan,6,8,5,6,6,0,2
23,Male,Japan,6,8,5,6,6,0,2
23,Male,Japan,6,8,5,6,6,1,2
23,Male,Japan,6,8,5,6,6,0,2
27,Male,British,2,7,7,10,8,0,0
27,Male,British,2,7,7,10,8,0,0
27,Male,British,2,7,7,10,8,0,0
27,Male,British,2,7,7,10,8,0,0
27,Male,British,2,7,7,10,8,0,0
27,Male,British,2,7,7,10,8,1,0
27,Male,British,2,7,7,10,8,0,0
57,Male,British,5,7,7,4,7,0,0
57,Male,British,5,7,7,4,7,0,0
57,Male,British,5,7,7,4,7,0,0
57,Male,British,5,7,7,4,7,0,0
57,Male,British,5,7,7,4,7,0,0
57,Male,British,5,7,7,4,7,0,0
57,Male,British,5,7,7,4,7,0,0
42,Male,Japan,2,2,2,7,6,0,1
30,Female,Japan,9,5,7,7,9,0,2
42,Male,British,4,8,5,4,10,0,3
42,Male,British,6,7,6,6,4,0,1
33,Male,Japan,3,2,4,7,10,0,3
33,Male,Japan,3,2,4,7,10,0,3
33,Male,Japan,3,2,4,7,10,1,3
33,Male,Japan,3,2,4,7,10,0,3
33,Male,Japan,3,2,4,7,10,1,3
33,Male,Japan,2,7,6,10,8,0,1
33,Male,Japan,2,7,6,10,8,0,1
33,Male,Japan,2,7,6,10,8,0,1
33,Male,Japan,2,7,6,10,8,0,1
51,Male,British,2,7,8,9,5,0,1
51,Male,British,2,7,8,9,5,0,1
51,Male,British,2,7,8,9,5,0,1
51,Male,British,2,7,8,9,5,0,1
42,Female,Japan,6,8,9,9,10,0,2
42,Female,Japan,6,8,9,9,10,0,2
29,Female,Japan,5,4,7,8,7,1,1
29,Female,Japan,5,4,7,8,7,0,1
39,Male,British,2,4,3,10,7,1,1
39,Male,British,2,4,3,10,7,0,1
30,Male,British,5,8,6,7,7,1,1
30,Male,British,5,8,6,7,7,1,1
48,Female,Japan,2,5,6,10,6,1,0
48,Female,Japan,2,5,6,10,6,1,0
48,Female,Japan,9,7,7,3,10,0,3
48,Female,Japan,9,7,7,3,10,0,3
30,Female,British,6,6,6,8,10,0,3
30,Female,British,6,6,6,8,10,0,3
54,Male,British,7,8,8,5,8,0,0
54,Male,British,7,8,8,5,8,0,0
36,Male,Japan,4,6,4,7,4,0,3
36,Male,Japan,4,6,4,7,4,0,3
36,Male,Japan,4,6,4,7,4,0,3
36,Male,Japan,4,6,4,7,4,0,3
34,Female,Japan,5,7,5,6,7,0,1
34,Female,Japan,5,7,5,6,7,0,1
34,Female,Japan,5,7,5,6,7,0,1
34,Female,Japan,5,7,5,6,7,1,1
24,Male,British,3,6,5,9,9,0,3
24,Male,British,3,6,5,9,9,0,3
24,Male,British,3,6,5,9,9,0,3
24,Male,British,3,6,5,9,9,0,3
29,Female,British,9,5,3,6,5,0,1
29,Female,British,9,5,3,6,5,0,1
29,Female,British,9,5,3,6,5,0,1
29,Female,British,9,5,3,6,5,0,1
37,Male,Japan,7,6,5,6,8,0,2
37,Male,Japan,7,6,5,6,8,0,2
32,Female,Japan,9,10,5,8,9,1,1
32,Female,Japan,9,10,5,8,9,1,1
56,Female,British,10,10,10,2,10,1,2
56,Female,British,10,10,10,2,10,0,2
22,Male,British,3,7,7,8,9,0,1
22,Male,British,3,7,7,8,9,0,1
47,Male,Japan,7,9,4,5,8,0,2
47,Male,Japan,7,9,4,5,8,0,2
47,Male,Japan,7,9,4,5,8,0,2
47,Male,Japan,7,9,4,5,8,0,2
47,Male,Japan,7,9,4,5,8,0,2
47,Male,Japan,7,9,4,5,8,0,2
47,Male,Japan,7,9,4,5,8,0,2
47,Male,Japan,7,9,4,5,8,0,2
26,Female,Japan,6,4,4,6,8,1,2
26,Female,Japan,6,4,4,6,8,1,2
26,Female,Japan,6,4,4,6,8,1,2
26,Female,Japan,6,4,4,6,8,1,2
26,Female,Japan,6,4,4,6,8,0,2
26,Female,Japan,6,4,4,6,8,1,2
26,Female,Japan,6,4,4,6,8,0,2
26,Female,Japan,6,4,4,6,8,1,2
19,Male,British,6,6,9,8,8,0,1
19,Male,British,6,6,9,8,8,0,1
19,Male,British,6,6,9,8,8,0,1
19,Male,British,6,6,9,8,8,0,1
19,Male,British,6,6,9,8,8,0,1
19,Male,British,6,6,9,8,8,0,1
19,Male,British,6,6,9,8,8,0,1
19,Male,British,6,6,9,8,8,0,1
34,Female,British,4,10,5,10,6,0,2
34,Female,British,4,10,5,10,6,0,2
34,Female,British,4,10,5,10,6,0,2
34,Female,British,4,10,5,10,6,0,2
34,Female,British,4,10,5,10,6,0,2
34,Female,British,4,10,5,10,6,0,2
34,Female,British,4,10,5,10,6,0,2
34,Female,British,4,10,5,10,6,0,2
36,Male,Japan,5,4,7,7,8,1,1
36,Male,Japan,5,4,7,7,8,1,1
36,Male,Japan,5,4,7,7,8,1,1
36,Male,Japan,5,4,7,7,8,1,1
36,Male,Japan,5,4,7,7,8,1,1
36,Male,Japan,5,4,7,7,8,0,1
36,Male,Japan,5,4,7,7,8,0,1
36,Male,Japan,5,4,7,7,8,0,1
35,Female,Japan,4,5,6,10,5,1,0
35,Female,Japan,4,5,6,10,5,1,0
35,Female,Japan,4,5,6,10,5,1,0
35,Female,Japan,4,5,6,10,5,1,0
35,Female,Japan,4,5,6,10,5,1,0
35,Female,Japan,4,5,6,10,5,1,0
35,Female,Japan,4,5,6,10,5,1,0
35,Female,Japan,4,5,6,10,5,0,0
22,Other,British,4,6,7,7,5,1,2
22,Other,British,4,6,7,7,5,1,2
22,Other,British,4,6,7,7,5,0,2
22,Other,British,4,6,7,7,5,1,2
22,Other,British,4,6,7,7,5,1,2
22,Other,British,4,6,7,7,5,1,2
22,Other,British,4,6,7,7,5,1,2
22,Other,British,4,6,7,7,5,1,2
64,Female,British,6,6,10,6,10,1,1
64,Female,British,6,6,10,6,10,1,1
64,Female,British,6,6,10,6,10,0,1
64,Female,British,6,6,10,6,10,1,1
64,Female,British,6,6,10,6,10,0,1
64,Female,British,6,6,10,6,10,1,1
64,Female,British,6,6,10,6,10,1,1
64,Female,British,6,6,10,6,10,0,1
39,Male,Japan,7,7,10,7,3,0,1
39,Male,Japan,7,7,10,7,3,0,1
40,Female,Japan,2,6,6,8,2,0,0
40,Female,Japan,2,6,6,8,2,1,0
40,Male,British,6,6,6,7,5,0,0
40,Male,British,6,6,6,7,5,0,0
9,Female,British,5,7,10,7,7,0,2
9,Female,British,5,7,10,7,7,0,2
46,Male,Japan,3,5,8,6,7,0,0
46,Male,Japan,3,5,8,6,7,0,0
46,Male,Japan,3,5,8,6,7,0,0
46,Male,Japan,3,5,8,6,7,0,0
46,Male,Japan,3,5,8,6,7,0,0
46,Male,Japan,3,5,8,6,7,0,0
37,Male,Japan,6,3,7,6,5,0,1
37,Male,Japan,6,3,7,6,5,0,1
37,Male,Japan,6,3,7,6,5,0,1
37,Male,Japan,6,3,7,6,5,0,1
37,Male,Japan,6,3,7,6,5,0,1
37,Male,Japan,6,3,7,6,5,0,1
29,Other,British,2,5,6,9,9,0,1
29,Other,British,2,5,6,9,9,0,1
29,Other,British,2,5,6,9,9,0,1
29,Other,British,2,5,6,9,9,0,1
29,Other,British,2,5,6,9,9,0,1
29,Other,British,2,5,6,9,9,0,1
20,Male,British,4,6,10,6,6,0,1
20,Male,British,4,6,10,6,6,0,1
20,Male,British,4,6,10,6,6,0,1
20,Male,British,4,6,10,6,6,0,1
20,Male,British,4,6,10,6,6,0,1
20,Male,British,4,6,10,6,6,0,1
53,Female,Japan,7,6,8,5,7,1,2
53,Female,Japan,7,6,8,5,7,0,2
53,Female,Japan,7,6,8,5,7,0,2
53,Female,Japan,7,6,8,5,7,0,2
31,Female,Japan,8,6,7,7,6,0,1
31,Female,Japan,8,6,7,7,6,0,1
31,Female,Japan,8,6,7,7,6,0,1
31,Female,Japan,8,6,7,7,6,0,1
34,Female,British,3,5,6,9,9,1,0
34,Female,British,3,5,6,9,9,0,0
34,Female,British,3,5,6,9,9,0,0
34,Female,British,3,5,6,9,9,0,0
48,Male,British,2,8,4,9,7,0,1
48,Male,British,2,8,4,9,7,0,1
48,Male,British,2,8,4,9,7,0,1
48,Male,British,2,8,4,9,7,0,1
48,Female,Japan,3,7,6,8,8,0,1
48,Female,Japan,3,7,6,8,8,0,1
48,Female,Japan,3,7,6,8,8,0,1
29,Female,Japan,5,6,6,6,8,0,2
29,Female,Japan,5,6,6,6,8,0,2
29,Female,Japan,5,6,6,6,8,0,2
37,Male,British,6,4,7,6,6,0,3
37,Male,British,6,4,7,6,6,0,3
37,Male,British,6,4,7,6,6,0,3
23,Male,British,5,9,7,6,6,0,0
23,Male,British,5,9,7,6,6,0,0
23,Male,British,5,9,7,6,6,0,0
30,Female,Japan,2,6,4,8,9,1,1
30,Female,Japan,2,6,4,8,9,1,1
30,Female,Japan,2,6,4,8,9,1,1
30,Female,Japan,2,6,4,8,9,0,1
53,Female,Japan,4,6,6,9,9,1,3
53,Female,Japan,4,6,6,9,9,1,3
53,Female,Japan,4,6,6,9,9,1,3
53,Female,Japan,4,6,6,9,9,1,3
64,Male,British,4,4,7,3,4,1,0
64,Male,British,4,4,7,3,4,1,0
64,Male,British,4,4,7,3,4,0,0
64,Male,British,4,4,7,3,4,0,0
49,Male,British,6,7,6,5,9,0,1
49,Male,British,6,7,6,5,9,0,1
49,Male,British,6,7,6,5,9,0,1
49,Male,British,6,7,6,5,9,0,1
41,Male,Japan,3,5,3,7,4,1,1
41,Male,Japan,3,5,3,7,4,1,1
41,Male,Japan,3,5,3,7,4,0,1
41,Male,Japan,3,5,3,7,4,1,1
23,Male,Japan,3,5,5,8,8,0,0
23,Male,Japan,3,5,5,8,8,0,0
23,Male,Japan,3,5,5,8,8,0,0
23,Male,Japan,3,5,5,8,8,0,0
51,Female,British,5,6,6,6,6,0,1
51,Female,British,5,6,6,6,6,0,1
51,Female,British,5,6,6,6,6,0,1
51,Female,British,5,6,6,6,6,1,1
50,Female,British,2,2,6,10,10,1,1
50,Female,British,2,2,6,10,10,1,1
50,Female,British,2,2,6,10,10,1,1
50,Female,British,2,2,6,10,10,1,1
32,Male,Japan,5,9,7,7,6,0,2
32,Male,Japan,5,9,7,7,6,0,2
32,Male,Japan,5,9,7,7,6,0,2
32,Male,Japan,5,9,7,7,6,0,2
32,Male,Japan,5,9,7,7,6,0,2
32,Male,Japan,5,9,7,7,6,1,2
39,Male,Japan,5,7,5,7,5,0,2
39,Male,Japan,5,7,5,7,5,0,2
39,Male,Japan,5,7,5,7,5,0,2
39,Male,Japan,5,7,5,7,5,0,2
39,Male,Japan,5,7,5,7,5,0,2
39,Male,Japan,5,7,5,7,5,0,2
34,Male,British,2,7,6,4,7,0,1
34,Male,British,2,7,6,4,7,0,1
34,Male,British,2,7,6,4,7,0,1
34,Male,British,2,7,6,4,7,0,1
34,Male,British,2,7,6,4,7,0,1
34,Male,British,2,7,6,4,7,0,1
55,Male,British,2,3,9,8,5,0,3
55,Male,British,2,3,9,8,5,0,3
55,Male,British,2,3,9,8,5,0,3
55,Male,British,2,3,9,8,5,0,3
55,Male,British,2,3,9,8,5,0,3
55,Male,British,2,3,9,8,5,0,3
54,Female,Japan,5,8,9,3,10,0,1
54,Female,Japan,5,8,9,3,10,1,1
54,Female,Japan,5,8,9,3,10,0,1
54,Female,Japan,5,8,9,3,10,1,1
47,Male,Japan,4,6,3,6,4,0,1
47,Male,Japan,4,6,3,6,4,0,1
47,Male,Japan,4,6,3,6,4,0,1
37,Male,British,3,7,7,7,8,0,0
37,Male,British,3,7,7,7,8,0,0
