category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,frequency,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originalDataset,bbox,DIPACategory,nationality,width,height
Bronze sculpture,"[0, 1, 0, 1, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0]",58,Female,2,CrowdWorks,5,6,6,7,10,151f9892b4cd5ba3.jpg,OpenImages,"[[7, 0, 757, 1024]]",Others,Japan,765.0,1024.0
Person,"[1, 1, 0, 0, 0, 0]",5,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,4,04b9f8abc09386ee.jpg,OpenImages,"[[46, 98, 138, 392], [221, 70, 164, 464], [542, 158, 46, 102], [610, 89, 54, 186], [692, 54, 229, 506], [874, 71, 110, 458]]",Others,Japan,1024.0,763.0
Plant,"[0, 1, 0, 0, 0, 0]",5,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,4,04b9f8abc09386ee.jpg,OpenImages,"[[0, 0, 808, 140], [819, 20, 202, 129]]",Others,Japan,1024.0,763.0
Clothing,"[0, 0, 0, 1, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,4,04b9f8abc09386ee.jpg,OpenImages,"[[47, 102, 939, 440]]",Clothing,Japan,1024.0,763.0
Tree,"[0, 1, 0, 0, 0, 0]",5,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",40,Male,1,CrowdWorks,6,6,6,8,4,04b9f8abc09386ee.jpg,OpenImages,"[[1, 0, 1020, 118]]",Others,Japan,1024.0,763.0
Object 0,"[0, 0, 0, 1, 0, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",43,Female,1,Prolific,8,4,8,7,10,a4ce8204dc010b24.jpg,OpenImages,"[[536, 18, 363, 86]]",Others,UK,910.0,1024.0
House,"[1, 1, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",25,Female,2,CrowdWorks,4,6,9,7,4,4416c2f5a9b33f21.jpg,OpenImages,"[[0, 0, 1022, 764]]",Others,Japan,1024.0,768.0
Woman,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",39,Male,1,CrowdWorks,3,3,10,6,7,3a18c41d6a250c1a.jpg,OpenImages,"[[321, 265, 296, 500]]",Person,Japan,1024.0,768.0
Person,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",25,Male,0,CrowdWorks,3,5,2,10,2,3a18c41d6a250c1a.jpg,OpenImages,"[[838, 374, 62, 60], [979, 222, 44, 62]]",Others,Japan,1024.0,768.0
Woman,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",25,Male,0,CrowdWorks,3,5,2,10,2,3a18c41d6a250c1a.jpg,OpenImages,"[[321, 265, 296, 500]]",Person,Japan,1024.0,768.0
Book,"[1, 1, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",47,Male,1,Prolific,5,8,10,4,8,3a18c41d6a250c1a.jpg,OpenImages,"[[0, 0, 1024, 768]]",Book,UK,1024.0,768.0
Woman,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",47,Male,1,Prolific,5,8,10,4,8,3a18c41d6a250c1a.jpg,OpenImages,"[[321, 265, 296, 500]]",Person,UK,1024.0,768.0
Sewing machine,"[0, 1, 0, 0, 0, 0]",1,"[0, 0, 1, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0]",49,Male,2,CrowdWorks,6,4,8,6,8,6b6ace97909699d5.jpg,OpenImages,"[[0, 0, 766, 1024]]",Machine,Japan,768.0,1024.0
Sewing machine,"[0, 1, 0, 0, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",41,Female,2,CrowdWorks,4,6,6,8,9,6b6ace97909699d5.jpg,OpenImages,"[[0, 0, 766, 1024]]",Machine,Japan,768.0,1024.0
Office building,"[0, 1, 0, 0, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",53,Male,1,CrowdWorks,6,7,6,7,7,373c26ce480f8d29.jpg,OpenImages,"[[0, 0, 1022, 677]]",Place Identifier,Japan,1024.0,681.0
Human face,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",43,Male,0,CrowdWorks,8,6,7,7,6,373c26ce480f8d29.jpg,OpenImages,"[[363, 171, 223, 210]]",Person,Japan,1024.0,681.0
Person,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",43,Male,0,CrowdWorks,8,6,7,7,6,373c26ce480f8d29.jpg,OpenImages,"[[280, 180, 461, 498]]",Others,Japan,1024.0,681.0
Human body,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",43,Male,0,CrowdWorks,8,6,7,7,6,373c26ce480f8d29.jpg,OpenImages,"[[283, 167, 458, 510]]",Person,Japan,1024.0,681.0
Office building,"[0, 1, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",43,Male,0,CrowdWorks,8,6,7,7,6,373c26ce480f8d29.jpg,OpenImages,"[[0, 0, 1022, 677]]",Place Identifier,Japan,1024.0,681.0
Human face,"[0, 1, 1, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",65,Male,0,Prolific,6,3,8,9,9,373c26ce480f8d29.jpg,OpenImages,"[[363, 171, 223, 210]]",Person,UK,1024.0,681.0
Person,"[0, 1, 1, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",65,Male,0,Prolific,6,3,8,9,9,373c26ce480f8d29.jpg,OpenImages,"[[280, 180, 461, 498]]",Others,UK,1024.0,681.0
Human body,"[0, 1, 1, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",65,Male,0,Prolific,6,3,8,9,9,373c26ce480f8d29.jpg,OpenImages,"[[283, 167, 458, 510]]",Person,UK,1024.0,681.0
Dog,"[1, 1, 0, 1, 0, 0]",5,"[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",20,Female,4,CrowdWorks,7,7,5,5,9,012360962fa706f8.jpg,OpenImages,"[[161, 114, 698, 690]]",Pet,Japan,1024.0,853.0
crib,"[1, 1, 0, 1, 0, 0]",0,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0]",33,Male,1,CrowdWorks,2,7,6,10,8,141965.jpg,LVIS,"[[0, 0, 499, 398]]",Others,Japan,500.0,399.0
Human head,"[1, 0, 0, 1, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Male,0,CrowdWorks,6,6,6,7,6,66368d8f0c538ba7.jpg,OpenImages,"[[175, 420, 46, 52], [388, 325, 100, 135], [666, 263, 47, 49]]",Person,Japan,1024.0,819.0
Human head,"[1, 0, 1, 0, 0, 0]",5,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",31,Male,1,Prolific,4,4,5,8,10,66368d8f0c538ba7.jpg,OpenImages,"[[175, 420, 46, 52], [388, 325, 100, 135], [666, 263, 47, 49]]",Person,UK,1024.0,819.0
Human head,"[0, 0, 1, 0, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",30,Female,4,Prolific,6,6,8,5,8,66368d8f0c538ba7.jpg,OpenImages,"[[175, 420, 46, 52], [388, 325, 100, 135], [666, 263, 47, 49]]",Person,UK,1024.0,819.0
handbag,"[0, 0, 1, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Male,2,CrowdWorks,6,8,5,6,6,205904.jpg,LVIS,"[[194, 202, 70, 176], [573, 147, 8, 29]]",Others,Japan,640.0,480.0
harmonium,"[0, 1, 0, 0, 0, 0]",1,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",35,Female,1,CrowdWorks,7,6,6,8,7,162557.jpg,LVIS,"[[69, 73, 244, 308]]",Others,Japan,640.0,480.0
piano,"[0, 1, 0, 0, 0, 0]",1,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",35,Female,1,CrowdWorks,7,6,6,8,7,162557.jpg,LVIS,"[[120, 319, 70, 61], [516, 328, 68, 48]]",Musical instrument,Japan,640.0,480.0
pew_(church_bench),"[0, 1, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",35,Female,1,CrowdWorks,7,6,6,8,7,162557.jpg,LVIS,"[[119, 370, 237, 109], [284, 364, 232, 110], [333, 361, 213, 97], [432, 372, 60, 31], [83, 438, 51, 41], [122, 409, 51, 70], [231, 367, 45, 37], [49, 412, 40, 64], [273, 380, 54, 43], [0, 445, 29, 33], [380, 359, 53, 27], [176, 368, 235, 111]]",Others,Japan,640.0,480.0
Object 0,"[1, 1, 1, 0, 1, 0]",5,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",35,Female,1,CrowdWorks,7,6,6,8,7,162557.jpg,LVIS,"[[295, 259, 285, 112]]",Others,Japan,640.0,480.0
harmonium,"[0, 1, 0, 0, 1, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",37,Female,1,CrowdWorks,2,5,4,10,8,162557.jpg,LVIS,"[[69, 73, 244, 308]]",Others,Japan,640.0,480.0
Object 0,"[1, 1, 0, 0, 1, 0]",6,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",37,Female,1,CrowdWorks,2,5,4,10,8,162557.jpg,LVIS,"[[295, 259, 285, 112]]",Others,Japan,640.0,480.0
Object 0,"[1, 1, 0, 0, 0, 0]",6,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",24,Female,1,Prolific,6,8,6,8,7,162557.jpg,LVIS,"[[295, 259, 285, 112]]",Others,UK,640.0,480.0
teddy_bear,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",53,Male,1,CrowdWorks,6,7,6,7,7,246077.jpg,LVIS,"[[2, 11, 244, 374], [214, 4, 281, 382]]",Others,Japan,500.0,387.0
painting,"[0, 0, 0, 1, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",28,Male,0,CrowdWorks,4,5,6,8,6,19994.jpg,LVIS,"[[204, 0, 138, 91]]",Others,Japan,640.0,480.0
laptop_computer,"[0, 0, 0, 1, 0, 0]",0,"[0, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 1, 1, 1, 0]",50,Male,0,CrowdWorks,8,3,6,7,7,126696.jpg,LVIS,"[[0, 79, 158, 220]]",Screen,Japan,400.0,300.0
cat,"[0, 0, 0, 1, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",42,Female,0,CrowdWorks,5,7,6,8,5,126696.jpg,LVIS,"[[192, 0, 200, 300]]",Pet,Japan,400.0,300.0
laptop_computer,"[0, 0, 0, 1, 0, 0]",2,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",42,Female,0,CrowdWorks,5,7,6,8,5,126696.jpg,LVIS,"[[0, 79, 158, 220]]",Screen,Japan,400.0,300.0
laptop_computer,"[0, 0, 1, 0, 0, 0]",2,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",41,Female,0,Prolific,8,9,9,5,8,126696.jpg,LVIS,"[[0, 79, 158, 220]]",Screen,UK,400.0,300.0
boat,"[1, 1, 0, 1, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Female,2,CrowdWorks,5,8,5,10,10,139150.jpg,LVIS,"[[0, 213, 617, 165]]",Others,Japan,640.0,427.0
boat,"[0, 1, 0, 0, 0, 0]",2,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",42,Female,2,Prolific,4,9,8,4,8,139150.jpg,LVIS,"[[0, 213, 617, 165]]",Others,UK,640.0,427.0
watch,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",28,Male,0,CrowdWorks,7,3,3,4,7,1296.jpg,LVIS,"[[342, 383, 71, 45]]",Others,Japan,427.0,640.0
ring,"[0, 0, 0, 1, 0, 1]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",28,Male,0,CrowdWorks,7,3,3,4,7,1296.jpg,LVIS,"[[246, 329, 21, 17], [322, 290, 19, 14]]",Accessory,Japan,427.0,640.0
cellular_telephone,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",28,Male,0,CrowdWorks,7,3,3,4,7,1296.jpg,LVIS,"[[250, 321, 47, 72], [299, 142, 72, 135]]",Others,Japan,427.0,640.0
Object 0,"[1, 0, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",28,Male,0,CrowdWorks,7,3,3,4,7,1296.jpg,LVIS,"[[25, 18, 390, 555]]",Others,Japan,427.0,640.0
Object 1,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",28,Male,0,CrowdWorks,7,3,3,4,7,1296.jpg,LVIS,"[[83, 13, 213, 300]]",Others,Japan,427.0,640.0
cellular_telephone,"[0, 0, 1, 0, 0, 0]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",31,Male,0,Prolific,4,8,6,6,7,1296.jpg,LVIS,"[[250, 321, 47, 72], [299, 142, 72, 135]]",Others,UK,427.0,640.0
Human face,"[1, 0, 0, 0, 0, 0]",1,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",27,Male,1,CrowdWorks,6,8,4,6,8,45a98c6eb828a0c9.jpg,OpenImages,"[[116, 366, 51, 73], [249, 244, 70, 128], [441, 409, 49, 60], [564, 414, 104, 140]]",Person,Japan,1024.0,768.0
Person,"[1, 0, 0, 0, 0, 0]",1,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",27,Male,1,CrowdWorks,6,8,4,6,8,45a98c6eb828a0c9.jpg,OpenImages,"[[68, 352, 108, 273], [174, 219, 315, 448], [424, 387, 139, 321]]",Others,Japan,1024.0,768.0
Human face,"[1, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",58,Female,2,CrowdWorks,5,6,6,7,10,45a98c6eb828a0c9.jpg,OpenImages,"[[116, 366, 51, 73], [249, 244, 70, 128], [441, 409, 49, 60], [564, 414, 104, 140]]",Person,Japan,1024.0,768.0
Person,"[1, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",58,Female,2,CrowdWorks,5,6,6,7,10,45a98c6eb828a0c9.jpg,OpenImages,"[[68, 352, 108, 273], [174, 219, 315, 448], [424, 387, 139, 321]]",Others,Japan,1024.0,768.0
Human body,"[1, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",58,Female,2,CrowdWorks,5,6,6,7,10,45a98c6eb828a0c9.jpg,OpenImages,"[[51, 227, 734, 492]]",Person,Japan,1024.0,768.0
Human head,"[1, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",58,Female,2,CrowdWorks,5,6,6,7,10,45a98c6eb828a0c9.jpg,OpenImages,"[[244, 240, 107, 136], [563, 409, 148, 151]]",Person,Japan,1024.0,768.0
Mammal,"[1, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",58,Female,2,CrowdWorks,5,6,6,7,10,45a98c6eb828a0c9.jpg,OpenImages,"[[86, 219, 716, 512]]",Others,Japan,1024.0,768.0
Man,"[1, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",58,Female,2,CrowdWorks,5,6,6,7,10,45a98c6eb828a0c9.jpg,OpenImages,"[[481, 316, 326, 412]]",Person,Japan,1024.0,768.0
Human face,"[1, 0, 1, 0, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Female,0,Prolific,6,6,8,9,9,45a98c6eb828a0c9.jpg,OpenImages,"[[116, 366, 51, 73], [249, 244, 70, 128], [441, 409, 49, 60], [564, 414, 104, 140]]",Person,UK,1024.0,768.0
Person,"[1, 0, 1, 0, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Female,0,Prolific,6,6,8,9,9,45a98c6eb828a0c9.jpg,OpenImages,"[[68, 352, 108, 273], [174, 219, 315, 448], [424, 387, 139, 321]]",Others,UK,1024.0,768.0
Human body,"[1, 0, 1, 0, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Female,0,Prolific,6,6,8,9,9,45a98c6eb828a0c9.jpg,OpenImages,"[[51, 227, 734, 492]]",Person,UK,1024.0,768.0
Human head,"[1, 0, 1, 0, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Female,0,Prolific,6,6,8,9,9,45a98c6eb828a0c9.jpg,OpenImages,"[[244, 240, 107, 136], [563, 409, 148, 151]]",Person,UK,1024.0,768.0
Mammal,"[1, 1, 1, 1, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Female,0,Prolific,6,6,8,9,9,45a98c6eb828a0c9.jpg,OpenImages,"[[86, 219, 716, 512]]",Others,UK,1024.0,768.0
Man,"[1, 0, 0, 0, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Female,0,Prolific,6,6,8,9,9,45a98c6eb828a0c9.jpg,OpenImages,"[[481, 316, 326, 412]]",Person,UK,1024.0,768.0
person,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",22,Female,3,CrowdWorks,6,6,5,8,6,239757.jpg,LVIS,"[[185, 108, 273, 238]]",Person,Japan,640.0,480.0
toy,"[0, 0, 0, 1, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",58,Female,1,CrowdWorks,4,5,6,7,8,239757.jpg,LVIS,"[[502, 53, 62, 86], [219, 193, 36, 65]]",Toy,Japan,640.0,480.0
person,"[1, 0, 0, 0, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",58,Female,1,CrowdWorks,4,5,6,7,8,239757.jpg,LVIS,"[[185, 108, 273, 238]]",Person,Japan,640.0,480.0
sock,"[0, 0, 0, 1, 0, 0]",3,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",58,Female,1,CrowdWorks,4,5,6,7,8,239757.jpg,LVIS,"[[377, 303, 82, 43]]",Others,Japan,640.0,480.0
person,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",50,Male,0,Prolific,4,5,10,8,3,239757.jpg,LVIS,"[[185, 108, 273, 238]]",Person,UK,640.0,480.0
person,"[1, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",21,Female,2,Prolific,6,7,7,8,10,239757.jpg,LVIS,"[[185, 108, 273, 238]]",Person,UK,640.0,480.0
antenna,"[0, 1, 0, 1, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",29,Female,0,CrowdWorks,8,6,9,3,6,10831.jpg,LVIS,"[[9, 69, 6, 36]]",Electronic Devices,Japan,500.0,334.0
antenna,"[0, 0, 1, 0, 0, 0]",6,"[0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 0]",36,Male,2,Prolific,8,7,8,4,7,10831.jpg,LVIS,"[[9, 69, 6, 36]]",Electronic Devices,UK,500.0,334.0
person,"[1, 0, 0, 0, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",47,Male,1,CrowdWorks,3,5,10,8,8,152598.jpg,LVIS,"[[32, 94, 84, 231], [141, 0, 498, 480]]",Person,Japan,640.0,480.0
bracelet,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",23,Female,1,CrowdWorks,2,6,6,6,8,152598.jpg,LVIS,"[[585, 470, 28, 9], [210, 328, 31, 23]]",Others,Japan,640.0,480.0
plastic_bag,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",23,Female,1,CrowdWorks,2,6,6,6,8,152598.jpg,LVIS,"[[85, 287, 32, 41]]",Others,Japan,640.0,480.0
person,"[1, 1, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",23,Female,1,CrowdWorks,2,6,6,6,8,152598.jpg,LVIS,"[[32, 94, 84, 231], [141, 0, 498, 480]]",Person,Japan,640.0,480.0
sunglasses,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Female,1,CrowdWorks,2,6,6,6,8,152598.jpg,LVIS,"[[273, 37, 138, 59]]",Others,Japan,640.0,480.0
sweatshirt,"[0, 0, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Female,1,CrowdWorks,2,6,6,6,8,152598.jpg,LVIS,"[[224, 138, 415, 341]]",Others,Japan,640.0,480.0
Man,"[1, 1, 0, 1, 0, 0]",3,"[0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",42,Male,1,CrowdWorks,5,4,7,10,5,4caa7f161916628e.jpg,OpenImages,"[[339, 120, 683, 646]]",Person,Japan,1024.0,768.0
Human body,"[1, 0, 1, 0, 0, 0]",5,"[0, 0, 1, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",23,Male,2,CrowdWorks,6,8,5,6,6,4caa7f161916628e.jpg,OpenImages,"[[337, 121, 686, 646]]",Person,Japan,1024.0,768.0
